LGANAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
COONAMBLE,11397,11357,11292,11248,11256,11254,11201,11168,11230,11274,11308,11312,11313,11305,11302,11291,11306,11324,11362,11393,11390,11391,11418,11442,11462,11483,11503,11522,11541,11558,11576,11593,11609,11625,11641,11656,11672,11686,11701,11715,11729
COOTAMUNDRA-GUNDAGAI REGIONAL,12989,12922,12849,12804,12774,12754,12688,12591,12548,12533,12523,12529,12511,12556,12604,12659,12697,12726,12732,12748,12759,12766,12796,12828,12858,12890,12920,12949,12977,13004,13030,13054,13078,13101,13124,13145,13166,13186,13206,13225,13243
COWRA,171200,171580,172359,174036,177098,180403,185224,191102,195643,199981,203181,207528,212450,216864,221152,225691,231490,235878,240090,240841,237083,239940,246475,251791,256326,260911,264388,266728,267941,270916,273847,276610,279174,281417,283479,285375,287233,289095,291242,293055,295028
CUMBERLAND,47176,47162,47060,47025,47038,47148,47315,47849,48466,48949,49079,49397,49757,50322,50847,51404,52490,53575,54358,55010,55528,55550,56108,56720,57288,57901,58473,59024,59552,60059,60547,61017,61469,61907,62330,62739,63134,63517,63887,64246,64595
DUBBO REGIONAL,8338,8321,8312,8233,8263,8245,8245,8286,8415,8457,8556,8657,8791,8918,9008,9101,9154,9259,9329,9450,9532,9576,9686,9796,9900,10010,10116,10221,10325,10428,10531,10633,10734,10835,10935,11035,11135,11234,11333,11432,11530
DUNGOG,10074,9958,9798,9603,9440,9287,9228,9110,9072,8973,8888,8913,8929,8962,9012,8991,8847,8728,8657,8547,8437,8451,8470,8489,8506,8523,8540,8557,8573,8590,8606,8623,8639,8655,8671,8686,8702,8718,8733,8748,8764
EDWARD RIVER,33639,34239,34855,35326,35662,35855,36103,36301,36462,36807,37082,37141,37270,37483,37733,37919,38372,38816,39290,39917,40464,40675,41035,41368,41660,41956,42238,42501,42759,43011,43258,43502,43745,44008,44277,44549,44828,45112,45403,45701,45994
EUROBODALLA,187825,187089,186489,185562,185740,186117,187872,190654,193557,195174,196479,198106,200098,201788,203490,205675,209107,211392,212825,212148,209066,210168,211829,212615,213483,214252,215412,216457,217367,218316,219023,219566,220080,220557,221052,221521,221971,222396,222800,223217,223637
FAIRFIELD,12121,12141,12184,12237,12330,12497,12479,12468,12515,12520,12509,12510,12508,12499,12470,12445,12509,12559,12627,12726,12822,12902,13012,13117,13214,13312,13407,13502,13597,13690,13783,13876,13967,14058,14148,14238,14327,14415,14502,14589,14676
FEDERATION,10062,9995,9907,9744,9610,9540,9573,9526,9562,9495,9469,9529,9608,9698,9750,9817,9725,9664,9590,9502,9385,9387,9486,9595,9697,9807,9909,10008,10102,10193,10280,10364,10445,10524,10599,10673,10743,10812,10878,10942,11005
FORBES,125777,126520,127183,128176,129490,130586,132751,135287,137979,140040,141726,144159,146604,148882,151069,153161,155276,156225,156510,155919,152800,153947,156133,159749,161747,162953,164514,165708,167152,167909,169082,169737,170354,171071,171949,172883,173830,174665,175332,176346,176962
GEORGES RIVER,4761,4730,4706,4660,4652,4618,4532,4471,4498,4529,4515,4464,4428,4382,4342,4298,4304,4300,4323,4327,4318,4322,4323,4325,4327,4329,4331,4333,4335,4336,4338,4339,4341,4342,4344,4345,4346,4348,4349,4350,4351
GILGANDRA,8818,8848,8870,8876,8907,8987,8919,8907,8926,8939,8911,8905,8909,8919,8926,8934,8937,8941,8947,8946,8925,8924,8925,8926,8927,8928,8929,8930,8931,8932,8932,8933,8934,8934,8935,8936,8936,8937,8937,8938,8938
GLEN INNES SEVERN,26401,26526,26576,26559,26615,26695,26803,27166,27654,28083,28363,28730,29187,29486,29815,30261,30642,31072,31490,31934,32150,32191,32625,33026,33355,33711,34039,34357,34664,34961,35249,35531,35805,36074,36339,36598,36852,37101,37345,37585,37819
GOULBURN MULWAREE,10455,10331,10189,10126,10036,9999,9985,9988,10009,10060,10072,10161,10220,10318,10441,10519,10601,10701,10801,10931,11109,11265,11483,11692,11884,12080,12272,12462,12651,12838,13024,13209,13392,13574,13754,13934,14111,14288,14463,14637,14810
GREATER HUME SHIRE,24412,24377,24277,24235,24329,24450,24583,24817,25100,25264,25395,25614,25705,25942,26171,26356,26653,26896,27102,27249,27195,27221,27519,27794,28019,28262,28486,28704,28914,29117,29314,29506,29693,29877,30057,30233,30405,30574,30739,30901,31059
GRIFFITH,12306,12193,12036,11892,11792,11782,11879,11987,12151,12344,12519,12514,12481,12468,12447,12491,12662,12799,12921,13024,13088,13090,13131,13177,13219,13265,13308,13349,13388,13426,13462,13497,13531,13564,13595,13626,13655,13684,13711,13738,13764
GUNNEDAH,5716,5652,5573,5492,5442,5428,5307,5210,5167,5131,5102,5172,5218,5250,5302,5326,5244,5191,5124,5019,4912,4905,4912,4920,4926,4934,4941,4947,4953,4960,4965,4971,4976,4981,4986,4991,4995,5000,5004,5007,5011
GWYDIR,62412,62515,62530,62032,61698,61725,62262,63066,63618,63982,64353,64670,65145,65503,65890,66346,66708,66989,67244,67578,67605,67897,68614,69520,70096,70642,71061,71322,71498,71866,72307,72753,73185,73695,74206,74667,75201,75799,76325,76822,77170
HAWKESBURY,3620,3616,3582,3538,3512,3483,3394,3292,3209,3153,3085,3029,3016,3005,2994,2984,2978,2958,2933,2910,2885,2883,2872,2861,2852,2843,2835,2826,2818,2810,2803,2796,2788,2781,2775,2768,2761,2755,2748,2742,2736
HAY,18014,18022,18031,18060,18146,18213,18266,18337,18467,18639,18793,18807,18783,18776,18760,18756,18906,19019,19131,19205,19223,19231,19297,19358,19409,19464,19515,19568,19620,19670,19718,19766,19812,19859,19904,19949,19993,20037,20081,20123,20165
HILLTOPS,132644,134068,134991,135567,135974,136162,137694,139436,141117,142549,143273,143754,144458,145262,146147,147385,149601,151809,153216,154037,152263,152344,153159,153900,154397,155051,156282,157263,158707,159760,161019,161962,162933,163895,164872,165832,166803,167541,168188,168935,169753
HORNSBY,13296,13412,13512,13631,13636,13662,13716,13742,13835,13854,13897,14070,14242,14428,14540,14656,14621,14563,14427,14269,13596,13590,13635,13654,13679,13709,13753,13761,13785,13798,13811,13823,13837,13850,13863,13876,13890,13903,13917,13923,13929
HUNTERS HILL,166693,166368,166127,165989,166486,167602,170481,173375,176106,178395,180301,182041,184297,186495,188711,191194,192275,192661,191965,190035,183839,184694,188069,192577,193895,195223,196127,197472,198982,200899,203095,205518,207865,210101,212453,214654,216914,219266,221824,223982,226484
INNER WEST,16784,16867,16852,16822,16874,16947,17104,17253,17445,17591,17689,17702,17715,17746,17764,17815,17840,17895,17974,17985,17920,17895,17937,17980,18018,18061,18100,18138,18175,18210,18243,18275,18306,18336,18364,18391,18416,18441,18464,18485,18506
INVERELL,5859,5869,5861,5854,5882,5943,5942,5978,6054,6105,6132,6135,6213,6283,6336,6414,6441,6446,6452,6463,6454,6459,6526,6589,6640,6695,6746,6795,6843,6889,6934,6977,7020,7061,7102,7142,7181,7220,7257,7294,7330
JUNEE,27164,27327,27466,27608,27936,28032,28193,28431,28775,28960,29128,29223,29284,29351,29379,29431,29770,30080,30347,30602,30828,30835,30922,31017,31106,31201,31291,31376,31459,31538,31614,31687,31758,31826,31892,31956,32018,32077,32135,32191,32246
KEMPSEY,19793,19841,19836,19784,19690,19626,19809,19933,20219,20522,20806,21004,21262,21612,21890,22110,22299,22479,22711,22873,22970,23049,23183,23306,23415,23528,23638,23747,23856,23965,24074,24182,24290,24398,24506,24614,24722,24829,24937,25044,25150
KIAMA,106965,106778,106559,105839,104883,104459,105551,107976,110464,112643,114604,116339,118195,119851,121315,122472,124122,125528,126364,126438,124703,124868,125498,126324,126758,127459,128020,129497,131460,133843,136023,138669,141254,143160,144664,145860,147136,149023,152836,154915,158326
KU-RING-GAI,9739,9686,9590,9525,9507,9491,9491,9490,9514,9544,9537,9416,9345,9288,9197,9114,9171,9208,9248,9304,9346,9332,9355,9379,9400,9424,9446,9466,9486,9506,9524,9542,9559,9575,9590,9605,9619,9632,9645,9657,9669
KYOGLE,7651,7529,7366,7214,7071,6932,6821,6793,6779,6765,6802,6749,6681,6624,6541,6444,6403,6341,6273,6223,6153,6153,6142,6131,6120,6108,6098,6087,6077,6068,6059,6050,6041,6033,6025,6017,6010,6003,5996,5989,5983
LACHLAN,186353,187385,188171,188415,188547,188503,189672,191478,193585,195263,196811,197693,198953,200249,201240,202332,204512,206975,209433,211954,214054,215046,217527,220021,222368,224853,227256,229637,231993,234326,236642,238946,241237,243518,245791,248055,250309,252555,254791,257018,259237
LAKE MACQUARIE,31880,31749,31695,31599,31538,31527,31678,31918,32308,32803,33233,33728,34261,35196,36402,37694,38615,39239,39790,40067,39608,41022,42836,44521,44981,45415,45890,46714,48286,48578,48985,49393,49822,50251,50685,51112,51542,51966,52283,52584,52598
LANE COVE,11832,11807,11755,11681,11590,11562,11502,11457,11461,11432,11406,11430,11413,11408,11411,11407,11438,11459,11489,11500,11480,11489,11529,11565,11595,11627,11657,11685,11713,11740,11766,11791,11816,11840,11864,11887,11910,11932,11954,11975,11996
LEETON,42721,42749,42681,42764,43011,43338,43636,43750,43940,44190,44348,44388,44408,44327,44212,44122,44137,44196,44234,44316,44361,44272,44422,44578,44713,44869,45010,45146,45276,45401,45521,45636,45747,45852,45953,46049,46141,46228,46310,46389,46463
LISMORE,20451,20442,20418,20357,20272,20186,20277,20352,20621,20732,20850,21000,21118,21283,21400,21484,21419,21344,21216,21063,20855,20856,20902,20952,20999,21050,21097,21143,21186,21228,21269,21308,21345,21381,21416,21450,21483,21514,21545,21574,21603
LITHGOW CITY,158027,161908,163835,165627,167472,169868,172875,177372,181712,184910,188088,191799,196122,200725,206205,211983,217465,222410,227187,231268,234505,240035,254038,262334,269621,277387,284626,291477,297120,302796,307274,312659,318644,324827,330997,337188,342706,347813,352479,357112,361687
LIVERPOOL,7977,7940,7859,7797,7736,7717,7720,7717,7718,7738,7761,7786,7812,7831,7837,7847,7829,7806,7780,7702,7608,7608,7617,7626,7635,7644,7653,7661,7669,7677,7684,7691,7698,7705,7711,7718,7724,7729,7735,7741,7746
LIVERPOOL PLAINS,3550,3470,3404,3330,3267,3237,3203,3171,3159,3133,3098,3085,3096,3117,3121,3173,3208,3218,3266,3308,3328,3331,3366,3398,3423,3450,3475,3499,3523,3545,3567,3589,3610,3630,3650,3670,3689,3708,3726,3744,3762
LOCKHART,56055,57642,59167,60440,61961,63505,65143,66244,67268,68561,69924,72012,73870,75695,77374,79063,81058,83260,85313,87920,90612,91595,94036,96485,98785,101216,103566,105895,108199,110481,112748,115001,117242,119474,121697,123911,126116,128313,130500,132679,134849
MAITLAND,81291,82081,83014,83730,84281,84579,85325,86091,86942,87948,88818,89308,89940,90468,91038,91801,92901,93900,94826,95731,96475,96524,97066,97651,98196,98780,99328,99857,100366,100858,101332,101792,102236,102668,103087,103494,103889,104273,104647,105011,105366
MID-COAST,22003,22002,21862,21706,21647,21641,21887,22186,22469,22774,23020,23343,23742,24059,24374,24546,24889,25181,25416,25589,25714,25721,25942,26185,26410,26653,26880,27098,27307,27508,27701,27888,28067,28241,28408,28570,28727,28878,29025,29167,29306
MID-WESTERN REGIONAL,16108,15834,15457,15028,14693,14407,14155,14070,14019,14032,14043,13980,13925,13853,13735,13627,13497,13355,13215,13047,12964,12887,13022,13162,13283,13423,13550,13672,13789,13901,14009,14113,14212,14307,14397,14484,14566,14644,14718,14788,14855
MOREE PLAINS,27680,27644,27680,27737,27538,27570,27900,28422,28761,29131,29351,29481,29641,29846,30045,30260,30299,30269,30020,29543,28466,28476,28535,28632,28680,28755,28873,28914,28947,28975,29010,29044,29081,29116,29153,29178,29195,29211,29228,29247,29268
MOSMAN,10997,10994,10966,10929,10932,11020,11082,11161,11226,11259,11257,11382,11515,11642,11755,11872,12027,12227,12355,12572,12785,12950,13177,13394,13593,13796,13995,14192,14388,14582,14774,14965,15155,15343,15530,15715,15899,16082,16263,16443,16621
MURRAY RIVER,4548,4485,4402,4328,4273,4219,4109,4039,3992,3948,3888,3882,3920,3900,3893,3929,3854,3809,3753,3625,3564,3573,3594,3615,3633,3651,3669,3686,3703,3720,3736,3752,3768,3783,3799,3814,3829,3844,3859,3873,3887
MURRUMBIDGEE,15099,15339,15402,15402,15467,15639,15713,15749,15878,16108,16328,16398,16415,16431,16435,16462,16519,16520,16554,16539,16469,16496,16564,16632,16696,16763,16828,16893,16957,17020,17083,17145,17207,17269,17331,17392,17454,17514,17575,17636,17696
MUSWELLBROOK,18026,18005,17849,18136,18247,18299,18456,18695,18892,19140,19235,19310,19428,19501,19541,19580,19787,19960,20150,20290,20382,20323,20422,20526,20615,20720,20814,20905,20992,21075,21156,21233,21307,21377,21445,21509,21570,21628,21683,21736,21786
NAMBUCCA VALLEY,14422,14244,14050,13784,13592,13477,13359,13303,13349,13394,13438,13433,13489,13480,13459,13367,13300,13233,13146,12990,12808,12808,12820,12833,12845,12858,12869,12881,12892,12902,12913,12922,12932,12941,12950,12958,12967,12975,12982,12990,12997
NARRABRI,6686,6580,6433,6307,6221,6149,6103,6069,6093,6105,6115,6086,6054,6015,5978,5949,5909,5879,5832,5787,5733,5726,5714,5703,5694,5685,5676,5667,5659,5650,5643,5635,5627,5620,5613,5606,5599,5592,5586,5579,5573
NARRANDERA,7060,6980,6863,6777,6734,6691,6676,6726,6748,6815,6832,6795,6761,6721,6668,6617,6596,6584,6565,6521,6448,6453,6463,6475,6485,6496,6507,6517,6527,6536,6546,6554,6563,6571,6579,6586,6594,6601,6607,6614,6621
NARROMINE,141001,142220,143613,144834,145914,146623,148524,150553,151895,153483,155550,156451,157477,158683,159680,160707,162796,164730,166510,168242,169433,170289,172429,174584,176614,178765,180846,182907,184947,186967,188973,190967,192950,194926,196894,198854,200806,202750,204686,206615,208536
NEWCASTLE,58337,58816,59583,60271,60850,61512,62476,63484,64762,65850,66747,67630,68666,69754,70860,71809,72304,72354,72155,71430,69471,69628,70055,70739,71595,72074,72817,73982,75262,76191,77025,77856,78711,79557,80404,81236,82073,82898,83269,83689,84146
